,author,title,sentence_nr,entity,kind,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
270,"Orwell, George",1984,479,Big Brother,person,6,6,9,9,6,9,12,9,3,9,3
281,"Orwell, George",1984,492,O'Brien,person,2,4,0,0,2,2,4,0,0,4,2
287,"Orwell, George",1984,498,Winston,person,2,0,2,2,0,2,0,2,0,0,-2
292,"Orwell, George",1984,515,Martin,person,0,2,0,0,4,0,4,0,2,2,4
297,"Orwell, George",1984,523,Julia,person,4,2,2,4,2,4,2,4,2,2,-2
301,"Orwell, George",1984,530,Jones,person,0,0,0,0,0,5,0,0,5,0,-5
302,"Orwell, George",1984,530,Ruth,person,0,0,0,0,0,5,0,0,5,0,-5
306,"Orwell, George",1984,535,Big Brother,person,0,0,0,0,0,0,1,0,0,1,1
308,"Orwell, George",1984,544,Winston,person,0,0,0,0,2,0,2,0,0,1,2
309,"Orwell, George",1984,545,Julia,person,0,3,0,0,3,0,3,0,0,3,3
313,"Orwell, George",1984,548,Parsons,person,0,0,0,2,0,2,0,0,0,0,-2
315,"Orwell, George",1984,554,Winston,person,0,2,0,0,1,0,1,0,0,1,1
323,"Orwell, George",1984,575,Julia,person,3,0,0,0,3,6,3,3,0,3,-3
330,"Orwell, George",1984,582,Goldstein,person,21,3,3,9,0,18,6,9,3,0,-12
344,"Orwell, George",1984,614,Winston,person,0,0,0,0,0,0,2,0,0,0,2
346,"Orwell, George",1984,615,Winston,person,2,0,0,2,0,1,0,1,1,0,-1
348,"Orwell, George",1984,622,Big Brother,person,2,2,0,0,0,2,4,0,0,4,2
353,"Orwell, George",1984,629,Goldstein,person,3,0,3,3,0,3,3,3,0,3,0
356,"Orwell, George",1984,630,Winston,person,0,0,0,0,0,0,2,0,0,2,2
357,"Orwell, George",1984,630,Big Brother,person,0,0,0,0,0,0,2,0,0,2,2
370,"Orwell, George",1984,653,O'Brien,person,0,0,0,0,0,0,1,0,0,1,1
377,"Orwell, George",1984,667,Winston,person,0,0,0,2,0,2,0,2,0,0,-2
380,"Orwell, George",1984,671,Big Brother,person,4,0,2,6,0,6,6,2,0,6,0
395,"Orwell, George",1984,715,Winston,person,0,4,0,2,0,2,0,0,0,0,-2
399,"Orwell, George",1984,719,Winston,person,1,0,0,0,0,1,0,1,0,0,-1
